site,format,count,preferred
and,julian,6,false
and,mm,1,false
and,month,1,false
and,number,9,false
and,YYYY,36,true
and,YYYY-MM-DD,164,true
arc,%j,9,false
arc,dd,47,false
arc,DD,29,false
arc,dd-mmm-yyyy,51,false
arc,dd-mon-yy,233,false
arc,DD-mon-YY,1,false
arc,dd-mon-yyyy,260,false
arc,DD-mon-YYYY,10,false
arc,DD-MON-YYYY,1,false
arc,ddd,20,false
arc,ddd.dd,8,false
arc,ddmonyyyy,8,false
arc,dmm/dd/yy,1,false
arc,hh24:mi,146,false
arc,HH24:Mi,6,false
arc,hh24:mi:ss,38,false
arc,hh24:mi:SS,3,false
arc,HH24:Mi:SS,4,false
arc,hh24:mm,2,false
arc,hh24mi,71,false
arc,hh24mm,6,false
arc,hhmm,122,false
arc,mm,43,false
arc,MM,29,false
arc,MM/DD/YY,20,false
arc,mm/dd/yyyy,10,false
arc,MM/DD/YYYY,1,false
arc,mmm,10,false
arc,mmm-dd-yyyy,4,false
arc,mmm-yyyy,1,false
arc,yyyy,106,false
arc,YYYY,83,true
arc,YYYY-%j,20,false
arc,YYYY-MM-DD,29,true
bes,hh:mm,8,false
bes,MM-DD-YYYY,12,false
bes,YYYY,6,true
bnz,dd/mm/yy,2,false
bnz,dd/mm/yyyy,4,false
bnz,ddmmyy,1,false
bnz,hh:mm,47,false
bnz,HH:MM,1,false
bnz,hh:mm:ss,2,false
bnz,m/d/yyyy,1,false
bnz,mm-dd-yyyy,4,false
bnz,MM-DD-YYYY,1,false
bnz,mm/dd,2,false
bnz,mm/dd/yy,2,false
bnz,mm/dd/yyyy,23,false
bnz,mmddyy,1,false
bnz,yymmdd,1,false
bnz,yyyy-mm-dd,28,false
bnz,YYYY-MM-DD,152,true
bnz,yyyy/mm/dd,59,false
bnz,yyyymmdd,4,false
cap,DD-Month-YY,3,false
cap,DD-Mounth-YY,1,false
cap,DD/MM/YYYY,1,false
cap,DDD,1,false
cap,hh:mm,3,false
cap,HH:MM,3,false
cap,hh:mm:ss,10,false
cap,HH:MM:SS,35,false
cap,HH:MM:SS:,4,false
cap,MM,1,false
cap,MM/DD/YYYY,79,false
cap,Month,1,false
cap,year,1,false
cap,YY-MM,1,false
cap,YYYY,17,true
cap,YYYY-MM-DD,124,true
cce,hh:mm:ss,5,false
cce,YYYY-MM-DD,14,true
cdr,(dd-mm-yy),1,false
cdr,(M/D/YYYY),1,false
cdr,DD,22,false
cdr,DD-MMM-YY,1,false
cdr,dd-WWW-yy,1,false
cdr,dd/mm/yyyy,4,false
cdr,dd/mm/YYYY,2,false
cdr,DD/MM/YYYY,4,false
cdr,dd/mmm,5,false
cdr,DDMMYYYY,1,false
cdr,DDWWWYY,1,false
cdr,hh:mm,3,false
cdr,HH:MM,1,false
cdr,hh:mm:ss,3,false
cdr,hhmm,4,false
cdr,hmm,1,false
cdr,Julian,1,false
cdr,mm,1,false
cdr,MM,30,false
cdr,MM-DD,1,false
cdr,MM:DD:YYYY,10,false
cdr,MM/DD/YY,2,false
cdr,mm/dd/YYY,1,false
cdr,MM/DD/YYY,19,false
cdr,mm/dd/yyyy,6,false
cdr,mm/dd/YYYY,7,false
cdr,MM/DD/YYYY,30,false
cdr,MMDD,4,false
cdr,MMDDYYYY,7,false
cdr,Month,2,false
cdr,WWW,3,false
cdr,YY,1,false
cdr,yymmdd,18,false
cdr,YYMMDD,162,false
cdr,YYYY,258,true
cdr,YYYY-MM-DD,34,true
cdr,YYYY/MM/DD,2,false
cdr,YYYYMMDD,10,true
cwt,D,17,false
cwt,DD,84,false
cwt,DD-WWW-YYYY,8,false
cwt,hh,26,false
cwt,hh:mm,37,false
cwt,mm,2,false
cwt,MM,102,false
cwt,mm-dd-yyyy,27,false
cwt,mm/dd/yyyy,15,false
cwt,W,3,false
cwt,YYYY,190,true
cwt,yyyy-mm-dd,7,false
fce,hh:mm,41,false
fce,HH:MM,4,false
fce,hh:mm:ss,4,false
fce,minute,3,false
fce,Year,1,false
fce,YY,1,false
fce,YYY-MM-DD,1,false
fce,YYYY,4,true
fce,YYYY-MM,1,true
fce,YYYY-MM-DD,137,true
fce,YYYYMMDD,5,true
gce,DD-WWW-YYYY,7,false
gce,hh:mm,64,false
gce,hh:mm:ss,1,false
gce,MM/DD/YYYY,34,false
gce,YYYY-MM-DD,384,true
hbr,d,4,false
hbr,DD,1,false
hbr,DDD,4,false
hbr,HH:MM,2,false
hbr,HH:MM:SS,3,false
hbr,hhmm,1,false
hbr,HHMM,1,false
hbr,M,4,false
hbr,M/DD/YY,1,false
hbr,MM,21,false
hbr,MM-DD-YYYY,1,false
hbr,MM/DD/YYYY,1,false
hbr,YY,1,false
hbr,YYMMDD,1,false
hbr,YYYY,67,true
hbr,YYYY-MM,2,true
hbr,YYYY-MM-DD,53,true
hbr,YYYY-MM-DD-TT:TT,1,false
hbr,YYYYMMDD,3,true
hfr,DD,52,false
hfr,hh,1,false
hfr,hh:mm,53,false
hfr,HH:MM,1,false
hfr,hh:mm:ss,7,false
hfr,hhmm,9,false
hfr,MM,69,false
hfr,ss,2,false
hfr,YYY-MM-DD,1,false
hfr,YYYY,338,true
hfr,YYYY_MM,1,false
hfr,YYYY-MM,4,true
hfr,YYYY-MM-DD,292,true
hfr,YYYY-MM-DDThh:mm,118,true
hfr,YYYY-MM-DDThh:mm:ss,8,true
hfr,YYYYMM,5,true
hfr,YYYYMMDD,1,true
hfr,YYYYWW,4,false
jrn,##:##,1,false
jrn,hh:mm:ss,1,false
jrn,hhmm,1,false
jrn,HHMM,1,false
jrn,MM,2,false
jrn,mm/dd/yyyy,30,false
jrn,MM/DD/YYYY,9,false
jrn,MM\DD\YYYY,1,false
jrn,MMYYYY,1,false
jrn,yyyy,12,false
jrn,YYYY,3,true
kbs,DD,1,false
kbs,YYYY,87,true
kbs,YYYY--MM-DD,1,false
kbs,yyyy-mm-dd,1,false
kbs,YYYY-MM-DD,137,true
kbs,YYYYMMDD,3,true
knz,1,1,false
knz,DD,94,false
knz,DDD,8,false
knz,hh,2,false
knz,hhmm,29,false
knz,MM,93,false
knz,MM/DD/YY,1,false
knz,MMDD,1,false
knz,MMDDYY,2,false
knz,nominalDay,2,false
knz,nominalMinute,2,false
knz,YYMMDD,10,false
knz,YYYY,116,true
knz,YYYY-MM-DD,8,true
knz,YYYY:MM:DD,1,false
luq,alphabetic,39,false
luq,d,1,false
luq,DD,12,false
luq,DD-MMM-YY,1,false
luq,dd/mm/yyyy,1,false
luq,DD/MM/YYYY,33,false
luq,hh:mm,3,false
luq,HH:MM,2,false
luq,hh:mm:ss,1,false
luq,hh:mm[:ss,10,false
luq,HHMM,6,false
luq,integer,209,false
luq,m/d/yyyy,1,false
luq,MM/DD//YY,1,false
luq,mm/dd/yy,6,false
luq,MM/DD/YY,11,false
luq,mm/dd/yyyy,175,false
luq,MM/DD/YYYY,27,false
luq,numeric,140,false
luq,yyyy,1,false
luq,YYYY,43,true
luq,YYYYM,3,false
luq,YYYYMMDD,3,true
mcm,dd/mm/yyyy,6,false
mcm,DD/MM/YYYY,28,false
mcm,ddd,1,false
mcm,HH:MI24,1,false
mcm,HH24:Mi:SS,1,false
mcm,HHMM,1,false
mcm,mm/dd/yy,13,false
mcm,mm/dd/yyyy,209,false
mcm,mm/dd/YYYY,4,false
mcm,MM/dd/YYYY,2,false
mcm,MM/DD/YYYY,283,false
mcm,MM/DD/YYYYThh:mm:ss,1,false
mcm,mm/yyyy,21,false
mcm,MM/YYYY,8,false
mcm,yyyy,1,false
mcm,YYYY,2,true
mcr,DD,9,false
mcr,hh:mm,10,false
mcr,hh:mm:ss,8,false
mcr,M.D.YY,2,false
mcr,mm,2,false
mcr,MM,5,false
mcr,MM/DD/YY,1,false
mcr,mm/dd/yyyy,1,false
mcr,MM/DD/YYYY,5,false
mcr,yyyy,2,false
mcr,YYYY,21,true
mcr,YYYY-MM,2,true
mcr,YYYY-MM-DD,127,true
mcr,YYYYMMDD,1,true
nin,(DD)D,1,false
nin,hh:mm:ss,6,false
nin,YYMMDD,1,false
nin,YYYY-MM-DD,10,true
ntl,DD,1,false
ntl,hh:mm,1,false
ntl,HH:mm,4,false
ntl,HH:MM,1,false
ntl,hh:mm:ss,29,false
ntl,hhmm,11,false
ntl,Hm,2,false
ntl,kkmm,67,false
ntl,MM,15,false
ntl,MM-DD-YY,1,false
ntl,mm/dd/y,1,false
ntl,mm/dd/yyyy,2,false
ntl,yyyy,1,false
ntl,YYYY,12,true
ntl,yyyy-mm-dd,23,false
ntl,yyyy-MM-dd,203,false
ntl,YYYY-MM-dd,1,false
ntl,YYYY-MM-DD,89,true
ntl,YYYY.ddd,1,false
ntl,yyyy/MM/dd,2,false
nwk,YYYY,1,true
nwk,YYYY-MM-DD,1,true
nwt,DDD,8,false
nwt,hh:mm,1,false
nwt,HH:MM,4,false
nwt,HH24:MI,9,false
nwt,hhmm,44,false
nwt,JD,12,false
nwt,MM/DD/YY,29,false
nwt,MM/DD/YYYY,15,false
nwt,none,5,false
nwt,YYMMDD,1,false
nwt,YYYY,16,true
nwt,YYYY-MM-DD,42,true
nwt,YYYY0MM0DD,1,false
pal,hh:mm:ss,17,false
pal,YYYY-MM-DD,42,true
pie,dd,18,false
pie,dd-mom-yyyy,1,false
pie,dd-mon-yyyy,11,false
pie,DD-MON-YYYY,122,false
pie,hh:mm,139,false
pie,HH:MM,1,false
pie,hh:mm:ss,29,false
pie,mm,20,false
pie,mm/dd/yyyy,4,false
pie,MM/DD/YYYY,2,false
pie,mmm,1,false
pie,MON-YYYY,2,false
pie,yyyy,33,false
pie,YYYY,22,true
pie,yyyy-mm-dd,50,false
pie,YYYY-MM-DD,93,true
sbc,[m]m/[d]d/yy,4,false
sbc,dd,7,false
sbc,DD,4,false
sbc,DD-mmm-YY,1,false
sbc,dd-MMM-yyyy,1,false
sbc,DD-WWW-YYYY,1,false
sbc,DDMonYYYY,2,false
sbc,hh:mm,62,false
sbc,hh:mm:ss,1,false
sbc,HH:MM:SS,17,false
sbc,HH:MM:SSZ,21,false
sbc,mm,7,false
sbc,MM,30,false
sbc,MM-DD-YYYY,6,false
sbc,MM/D/YYYY,1,false
sbc,mm/dd/yy,4,false
sbc,MM/DD/YY,2,false
sbc,mm/dd/yyyy,57,false
sbc,MM/DD/YYYY,14,false
sbc,yyyy,7,false
sbc,YYYY,41,true
sbc,yyyy-mm-dd,47,false
sbc,YYYY-MM-DD,12,true
sbc,YYYY-MM-DDT-8hh:mm,7,false
sbc,YYYY-MM-DDThh:mm,87,true
sbc,YYYY-MM-DDThh:mm-h,11,false
sbc,YYYY-MM-DDThh:mm:ss,2,true
sbc,YYYY-MM-DDThh:mm:ssZ,5,true
sbc,YYYY-MM-DDThh:mmZ,11,true
sbc,YYYYMMDD,28,true
sbc,yyyymmddHHMMSS,16,false
sev,DD,7,false
sev,dd/mm/yyyy,1,false
sev,DD/MM/YYYY,6,false
sev,ddd,1,false
sev,DDD,15,false
sev,hh:mm,2,false
sev,hh:mm:ss,1,false
sev,HH:MM:SS,2,false
sev,hh:mm:ss.s,14,false
sev,hhmm,1,false
sev,HHMM,1,false
sev,hm,2,false
sev,MM,7,false
sev,MM-YY,1,false
sev,MM/DD/YY,22,false
sev,MM/DD/YYThh:mm:ss,6,false
sev,MM/DD/YYYY,36,false
sev,YY,1,false
sev,YYYY,133,true
sev,YYYY-MM-DD,3,true
sev,YYYYMMDD,8,true
sev,YYYYMMDDhhmmss,7,false
